SOC Code 2018,Occupation
,"Surveyors, Cartographers, and Photogrammetrists"
17-1021,Cartographers and Photogrammetrists
17-1022,Surveyors
,Engineers
,Aerospace Engineers
17-2011,Aerospace Engineers
,Agricultural Engineers
17-2021,Agricultural Engineers
,Bioengineers and Biomedical Engineers
17-2031,Bioengineers and Biomedical Engineers
,Chemical Engineers
17-2041,Chemical Engineers
,Civil Engineers
17-2051,Civil Engineers
,Computer Hardware Engineers
17-2061,Computer Hardware Engineers
,Electrical and Electronics Engineers
17-2071,Electrical Engineers
17-2072,"Electronics Engineers, Except Computer"
,Environmental Engineers
17-2081,Environmental Engineers
,"Industrial Engineers, Including Health and Safety"
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
17-2112,Industrial Engineers
,Marine Engineers and Naval Architects
17-2121,Marine Engineers and Naval Architects
,Materials Engineers
17-2131,Materials Engineers
,Mechanical Engineers
17-2141,Mechanical Engineers
,"Mining and Geological Engineers, Including Mining Safety Engineers"
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
,Nuclear Engineers
17-2161,Nuclear Engineers
,Petroleum Engineers
17-2171,Petroleum Engineers
,Miscellaneous Engineers
17-2199,"Engineers, All Other"
,"Drafters, Engineering Technicians, and Mapping Technicians"
,Drafters
17-3011,Architectural and Civil Drafters
17-3012,Electrical and Electronics Drafters
17-3013,Mechanical Drafters
17-3019,"Drafters, All Other"
,"Engineering Technologists and Technicians, Except Drafters"
17-3021,Aerospace Engineering and Operations Technologists and Technicians
17-3022,Civil Engineering Technologists and Technicians
17-3023,Electrical and Electronic Engineering Technologists and Technicians
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians
17-3025,Environmental Engineering Technologists and Technicians
17-3026,Industrial Engineering Technologists and Technicians
17-3027,Mechanical Engineering Technologists and Technicians
17-3028,Calibration Technologists and Technicians
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other"
,Surveying and Mapping Technicians
17-3031,Surveying and Mapping Technicians
,"Life, Physical, and Social Science Occupations"
,Life Scientists
,Agricultural and Food Scientists
19-1011,Animal Scientists
19-1012,Food Scientists and Technologists
19-1013,Soil and Plant Scientists
,Biological Scientists
19-1021,Biochemists and Biophysicists
19-1022,Microbiologists
19-1023,Zoologists and Wildlife Biologists
19-1029,"Biological Scientists, All Other"
,Conservation Scientists and Foresters
19-1031,Conservation Scientists
19-1032,Foresters
,Medical Scientists
19-1041,Epidemiologists
19-1042,"Medical Scientists, Except Epidemiologists"
,Miscellaneous Life Scientists
19-1099,"Life Scientists, All Other"
,Physical Scientists
,Astronomers and Physicists
19-2011,Astronomers
19-2012,Physicists
,Atmospheric and Space Scientists
19-2021,Atmospheric and Space Scientists
,Chemists and Materials Scientists
19-2031,Chemists
19-2032,Materials Scientists
,Environmental Scientists and Geoscientists
19-2041,"Environmental Scientists and Specialists, Including Health"
19-2042,"Geoscientists, Except Hydrologists and Geographers"
19-2043,Hydrologists
,Miscellaneous Physical Scientists
19-2099,"Physical Scientists, All Other"
,Social Scientists and Related Workers
,Economists
19-3011,Economists
,Survey Researchers
19-3022,Survey Researchers
,Psychologists
19-3032,Industrial-Organizational Psychologists
19-3033,Clinical and Counseling Psychologists
19-3034,School Psychologists
19-3039,"Psychologists, All Other"
,Sociologists
19-3041,Sociologists
,Urban and Regional Planners
19-3051,Urban and Regional Planners
,Miscellaneous Social Scientists and Related Workers
19-3091,Anthropologists and Archeologists
19-3092,Geographers
19-3093,Historians
19-3094,Political Scientists
19-3099,"Social Scientists and Related Workers, All Other"
,"Life, Physical, and Social Science Technicians"
,Agricultural and Food Science Technicians
19-4012,Agricultural Technicians
19-4013,Food Science Technicians
,Biological Technicians
19-4021,Biological Technicians
,Chemical Technicians
19-4031,Chemical Technicians
,Environmental Science and Geoscience Technicians
19-4042,"Environmental Science and Protection Technicians, Including Health"
19-4043,"Geological Technicians, Except Hydrologic Technicians"
19-4044,Hydrologic Technicians
,Nuclear Technicians
19-4051,Nuclear Technicians
,Social Science Research Assistants
19-4061,Social Science Research Assistants
,Forest and Conservation Technicians
19-4071,Forest and Conservation Technicians
,"Miscellaneous Life, Physical, and Social Science Technicians"
19-4092,Forensic Science Technicians
19-4099,"Life, Physical, and Social Science Technicians, All Other"
,Occupational Health and Safety Specialists and Technicians
,Occupational Health and Safety Specialists and Technicians
19-5011,Occupational Health and Safety Specialists
19-5012,Occupational Health and Safety Technicians
,Community and Social Service Occupations
,"Counselors, Social Workers, and Other Community and Social Service Specialists"
,Counselors
21-1011,Substance Abuse and Behavioral Disorder Counselors
21-1012,"Educational, Guidance, and Career Counselors and Advisors"
21-1013,Marriage and Family Therapists
21-1014,Mental Health Counselors
21-1015,Rehabilitation Counselors
21-1019,"Counselors, All Other"
,Social Workers
21-1021,"Child, Family, and School Social Workers"
21-1022,Healthcare Social Workers
21-1023,Mental Health and Substance Abuse Social Workers
21-1029,"Social Workers, All Other"
,Miscellaneous Community and Social Service Specialists
21-1091,Health Education Specialists
21-1092,Probation Officers and Correctional Treatment Specialists
21-1093,Social and Human Service Assistants
21-1094,Community Health Workers
21-1099,"Community and Social Service Specialists, All Other"
,Religious Workers
,Clergy
21-2011,Clergy
,"Directors, Religious Activities and Education"
21-2021,"Directors, Religious Activities and Education"
,Miscellaneous Religious Workers
21-2099,"Religious Workers, All Other"
,Legal Occupations
,"Lawyers, Judges, and Related Workers"
,Lawyers and Judicial Law Clerks
23-1011,Lawyers
23-1012,Judicial Law Clerks
,"Judges, Magistrates, and Other Judicial Workers"
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1022,"Arbitrators, Mediators, and Conciliators"
23-1023,"Judges, Magistrate Judges, and Magistrates"
,Legal Support Workers
,Paralegals and Legal Assistants
23-2011,Paralegals and Legal Assistants
,Miscellaneous Legal Support Workers
23-2093,"Title Examiners, Abstractors, and Searchers"
23-2099,"Legal Support Workers, All Other"
,Educational Instruction and Library Occupations
,Postsecondary Teachers
,"Business Teachers, Postsecondary"
25-1011,"Business Teachers, Postsecondary"
,"Math and Computer Science Teachers, Postsecondary"
25-1021,"Computer Science Teachers, Postsecondary"
25-1022,"Mathematical Science Teachers, Postsecondary"
,"Engineering and Architecture Teachers, Postsecondary"
25-1031,"Architecture Teachers, Postsecondary"
25-1032,"Engineering Teachers, Postsecondary"
,"Life Sciences Teachers, Postsecondary"
25-1041,"Agricultural Sciences Teachers, Postsecondary"
25-1042,"Biological Science Teachers, Postsecondary"
25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
,"Physical Sciences Teachers, Postsecondary"
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
25-1052,"Chemistry Teachers, Postsecondary"
25-1053,"Environmental Science Teachers, Postsecondary"
25-1054,"Physics Teachers, Postsecondary"
,"Social Sciences Teachers, Postsecondary"
25-1061,"Anthropology and Archeology Teachers, Postsecondary"
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
25-1063,"Economics Teachers, Postsecondary"
25-1064,"Geography Teachers, Postsecondary"
25-1065,"Political Science Teachers, Postsecondary"
25-1066,"Psychology Teachers, Postsecondary"
25-1067,"Sociology Teachers, Postsecondary"
25-1069,"Social Sciences Teachers, Postsecondary, All Other"
,"Health Teachers, Postsecondary"
25-1071,"Health Specialties Teachers, Postsecondary"
25-1072,"Nursing Instructors and Teachers, Postsecondary"
,"Education and Library Science Teachers, Postsecondary"
25-1081,"Education Teachers, Postsecondary"
25-1082,"Library Science Teachers, Postsecondary"
,"Law, Criminal Justice, and Social Work Teachers, Postsecondary"
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
25-1112,"Law Teachers, Postsecondary"
25-1113,"Social Work Teachers, Postsecondary"
,"Arts, Communications, History, and Humanities Teachers, Postsecondary"
25-1121,"Art, Drama, and Music Teachers, Postsecondary"
25-1122,"Communications Teachers, Postsecondary"
25-1123,"English Language and Literature Teachers, Postsecondary"
25-1124,"Foreign Language and Literature Teachers, Postsecondary"
25-1125,"History Teachers, Postsecondary"
25-1126,"Philosophy and Religion Teachers, Postsecondary"
,Miscellaneous Postsecondary Teachers
25-1192,"Family and Consumer Sciences Teachers, Postsecondary"
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
25-1194,"Career/Technical Education Teachers, Postsecondary"
25-1199,"Postsecondary Teachers, All Other"
,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers"
,Preschool and Kindergarten Teachers
25-2011,"Preschool Teachers, Except Special Education"
25-2012,"Kindergarten Teachers, Except Special Education"
,Elementary and Middle School Teachers
25-2021,"Elementary School Teachers, Except Special Education"
25-2022,"Middle School Teachers, Except Special and Career/Technical Education"
25-2023,"Career/Technical Education Teachers, Middle School"
,Secondary School Teachers
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education"
25-2032,"Career/Technical Education Teachers, Secondary School"
,Special Education Teachers
25-2051,"Special Education Teachers, Preschool"
25-2055,"Special Education Teachers, Kindergarten"
25-2056,"Special Education Teachers, Elementary School"
25-2057,"Special Education Teachers, Middle School"
25-2058,"Special Education Teachers, Secondary School"
25-2059,"Special Education Teachers, All Other"
,Other Teachers and Instructors
,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
,Self-Enrichment Teachers
25-3021,Self-Enrichment Teachers
,"Substitute Teachers, Short-Term"
25-3031,"Substitute Teachers, Short-Term"
,Tutors
25-3041,Tutors
,Miscellaneous Teachers and Instructors
25-3099,"Teachers and Instructors, All Other"
,"Librarians, Curators, and Archivists"
,"Archivists, Curators, and Museum Technicians"
25-4011,Archivists
25-4012,Curators
25-4013,Museum Technicians and Conservators
,Librarians and Media Collections Specialists
25-4022,Librarians and Media Collections Specialists
,Library Technicians
25-4031,Library Technicians
,Other Educational Instruction and Library Occupations
,Farm and Home Management Educators
25-9021,Farm and Home Management Educators
,Instructional Coordinators
25-9031,Instructional Coordinators
,Teaching Assistants
25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
25-9043,"Teaching Assistants, Special Education"
25-9044,"Teaching Assistants, Postsecondary"
25-9049,"Teaching Assistants, All Other"
,Miscellaneous Educational Instruction and Library Workers
25-9099,"Educational Instruction and Library Workers, All Other"
,"Arts, Design, Entertainment, Sports, and Media Occupations"
,Art and Design Workers
,Artists and Related Workers
27-1011,Art Directors
27-1012,Craft Artists
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014,Special Effects Artists and Animators
27-1019,"Artists and Related Workers, All Other"
,Designers
27-1021,Commercial and Industrial Designers
27-1022,Fashion Designers
27-1023,Floral Designers
27-1024,Graphic Designers
27-1025,Interior Designers
27-1026,Merchandise Displayers and Window Trimmers
27-1027,Set and Exhibit Designers
27-1029,"Designers, All Other"
,"Entertainers and Performers, Sports and Related Workers"
,"Actors, Producers, and Directors"
27-2011,Actors
27-2012,Producers and Directors
,"Athletes, Coaches, Umpires, and Related Workers"
27-2021,Athletes and Sports Competitors
27-2022,Coaches and Scouts
27-2023,"Umpires, Referees, and Other Sports Officials"
,Dancers and Choreographers
27-2031,Dancers
27-2032,Choreographers
,"Musicians, Singers, and Related Workers"
27-2041,Music Directors and Composers
27-2042,Musicians and Singers
,"Miscellaneous Entertainers and Performers, Sports and Related Workers"
27-2091,"Disc Jockeys, Except Radio"
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
,Media and Communication Workers
,Broadcast Announcers and Radio Disc Jockeys
27-3011,Broadcast Announcers and Radio Disc Jockeys
,"News Analysts, Reporters and Journalists"
27-3023,"News Analysts, Reporters, and Journalists"
,Public Relations Specialists
27-3031,Public Relations Specialists
,Writers and Editors
27-3041,Editors
27-3042,Technical Writers
27-3043,Writers and Authors
,Miscellaneous Media and Communication Workers
27-3091,Interpreters and Translators
27-3092,Court Reporters and Simultaneous Captioners
27-3099,"Media and Communication Workers, All Other"
,Media and Communication Equipment Workers
,"Broadcast, Sound, and Lighting Technicians"
27-4011,Audio and Video Technicians
27-4012,Broadcast Technicians
27-4014,Sound Engineering Technicians
27-4015,Lighting Technicians
,Photographers
27-4021,Photographers
,"Television, Video, and Film Camera Operators and Editors"
27-4031,"Camera Operators, Television, Video, and Film"
27-4032,Film and Video Editors
,Miscellaneous Media and Communication Equipment Workers
27-4099,"Media and Communication Equipment Workers, All Other"
,Healthcare Practitioners and Technical Occupations
,Healthcare Diagnosing or Treating Practitioners
,Chiropractors
29-1011,Chiropractors
,Dentists
29-1021,"Dentists, General"
29-1022,Oral and Maxillofacial Surgeons
29-1023,Orthodontists
29-1024,Prosthodontists
29-1029,"Dentists, All Other Specialists"
,Dietitians and Nutritionists
29-1031,Dietitians and Nutritionists
,Optometrists
29-1041,Optometrists
,Pharmacists
29-1051,Pharmacists
,Physician Assistants
29-1071,Physician Assistants
,Podiatrists
29-1081,Podiatrists
,Therapists
29-1122,Occupational Therapists
29-1123,Physical Therapists
29-1124,Radiation Therapists
29-1125,Recreational Therapists
29-1126,Respiratory Therapists
29-1127,Speech-Language Pathologists
29-1128,Exercise Physiologists
29-1129,"Therapists, All Other"
,Veterinarians
29-1131,Veterinarians
,Registered Nurses
29-1141,Registered Nurses
,Nurse Anesthetists
29-1151,Nurse Anesthetists
,Nurse Midwives
29-1161,Nurse Midwives
,Nurse Practitioners
29-1171,Nurse Practitioners
,Audiologists
29-1181,Audiologists
,Physicians
29-1211,Anesthesiologists
29-1212,Cardiologists
29-1213,Dermatologists
29-1214,Emergency Medicine Physicians
29-1215,Family Medicine Physicians
29-1216,General Internal Medicine Physicians
29-1217,Neurologists
29-1218,Obstetricians and Gynecologists
29-1221,"Pediatricians, General"
29-1222,"Physicians, Pathologists"
29-1223,Psychiatrists
29-1224,Radiologists
29-1229,"Physicians, All Other"
,Surgeons
29-1241,"Ophthalmologists, Except Pediatric"
29-1242,"Orthopedic Surgeons, Except Pediatric"
29-1243,Pediatric Surgeons
29-1249,"Surgeons, All Other"
,Miscellaneous Healthcare Diagnosing or Treating Practitioners
29-1291,Acupuncturists
29-1292,Dental Hygienists
29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other"
,Health Technologists and Technicians
,Clinical Laboratory Technologists and Technicians
29-2011,Medical and Clinical Laboratory Technologists
29-2012,Medical and Clinical Laboratory Technicians
,Diagnostic Related Technologists and Technicians
29-2031,Cardiovascular Technologists and Technicians
29-2032,Diagnostic Medical Sonographers
29-2033,Nuclear Medicine Technologists
29-2034,Radiologic Technologists and Technicians
29-2035,Magnetic Resonance Imaging Technologists
29-2036,Medical Dosimetrists
,Emergency Medical Technicians and Paramedics
29-2042,Emergency Medical Technicians
29-2043,Paramedics
,Health Practitioner Support Technologists and Technicians
29-2051,Dietetic Technicians
29-2052,Pharmacy Technicians
29-2053,Psychiatric Technicians
29-2055,Surgical Technologists
29-2056,Veterinary Technologists and Technicians
29-2057,Ophthalmic Medical Technicians
,Licensed Practical and Licensed Vocational Nurses
29-2061,Licensed Practical and Licensed Vocational Nurses
,Medical Records Specialists
29-2072,Medical Records Specialists
,"Opticians, Dispensing"
29-2081,"Opticians, Dispensing"
,Miscellaneous Health Technologists and Technicians
29-2091,Orthotists and Prosthetists
29-2092,Hearing Aid Specialists
29-2099,"Health Technologists and Technicians, All Other"
,Other Healthcare Practitioners and Technical Occupations
,Health Information Technologists and Medical Registrars
29-9021,Health Information Technologists and Medical Registrars
,Miscellaneous Health Practitioners and Technical Workers
29-9091,Athletic Trainers
29-9092,Genetic Counselors
29-9093,Surgical Assistants
29-9099,"Healthcare Practitioners and Technical Workers, All Other"
,Healthcare Support Occupations
,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides"
,Home Health and Personal Care Aides
31-1121,Home Health Aides
31-1122,Personal Care Aides
,"Nursing Assistants, Orderlies, and Psychiatric Aides"
31-1131,Nursing Assistants
31-1132,Orderlies
31-1133,Psychiatric Aides
,Occupational Therapy and Physical Therapist Assistants and Aides
,Occupational Therapy Assistants and Aides
31-2011,Occupational Therapy Assistants
31-2012,Occupational Therapy Aides
,Physical Therapist Assistants and Aides
31-2021,Physical Therapist Assistants
31-2022,Physical Therapist Aides
,Other Healthcare Support Occupations
,Massage Therapists
31-9011,Massage Therapists
,Miscellaneous Healthcare Support Occupations
31-9091,Dental Assistants
31-9092,Medical Assistants
31-9093,Medical Equipment Preparers
31-9094,Medical Transcriptionists
31-9095,Pharmacy Aides
31-9096,Veterinary Assistants and Laboratory Animal Caretakers
31-9097,Phlebotomists
31-9099,"Healthcare Support Workers, All Other"
,Protective Service Occupations
,Supervisors of Protective Service Workers
,First-Line Supervisors of Law Enforcement Workers
33-1011,First-Line Supervisors of Correctional Officers
33-1012,First-Line Supervisors of Police and Detectives
,First-Line Supervisors of Firefighting and Prevention Workers
33-1021,First-Line Supervisors of Firefighting and Prevention Workers
,"Miscellaneous First-Line Supervisors, Protective Service Workers"
33-1091,First-Line Supervisors of Security Workers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other"
,Firefighting and Prevention Workers
,Firefighters
33-2011,Firefighters
,Fire Inspectors
33-2021,Fire Inspectors and Investigators
33-2022,Forest Fire Inspectors and Prevention Specialists
,Law Enforcement Workers
,"Bailiffs, Correctional Officers, and Jailers"
33-3011,Bailiffs
33-3012,Correctional Officers and Jailers
,Detectives and Criminal Investigators
33-3021,Detectives and Criminal Investigators
,Fish and Game Wardens
33-3031,Fish and Game Wardens
,Parking Enforcement Workers
33-3041,Parking Enforcement Workers
,Police Officers
33-3051,Police and Sheriff’s Patrol Officers
33-3052,Transit and Railroad Police
,Other Protective Service Workers
,Animal Control Workers
33-9011,Animal Control Workers
,Private Detectives and Investigators
33-9021,Private Detectives and Investigators
,Security Guards and Gambling Surveillance Officers
33-9031,Gambling Surveillance Officers and Gambling Investigators
33-9032,Security Guards
,Miscellaneous Protective Service Workers
33-9091,Crossing Guards and Flaggers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
33-9093,Transportation Security Screeners
33-9094,School Bus Monitors
33-9099,"Protective Service Workers, All Other"
,Food Preparation and Serving Related Occupations
,Supervisors of Food Preparation and Serving Workers
,Supervisors of Food Preparation and Serving Workers
35-1011,Chefs and Head Cooks
35-1012,First-Line Supervisors of Food Preparation and Serving Workers
,Cooks and Food Preparation Workers
,Cooks
35-2011,"Cooks, Fast Food"
35-2012,"Cooks, Institution and Cafeteria"
35-2013,"Cooks, Private Household"
35-2014,"Cooks, Restaurant"
35-2015,"Cooks, Short Order"
35-2019,"Cooks, All Other"
,Food Preparation Workers
35-2021,Food Preparation Workers
,Food and Beverage Serving Workers
,Bartenders
35-3011,Bartenders
,Fast Food and Counter Workers
35-3023,Fast Food and Counter Workers
,Waiters and Waitresses
35-3031,Waiters and Waitresses
,"Food Servers, Nonrestaurant"
35-3041,"Food Servers, Nonrestaurant"
,Other Food Preparation and Serving Related Workers
,Dining Room and Cafeteria Attendants and Bartender Helpers
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers
,Dishwashers
35-9021,Dishwashers
,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
,Miscellaneous Food Preparation and Serving Related Workers
35-9099,"Food Preparation and Serving Related Workers, All Other"
,Building and Grounds Cleaning and Maintenance Occupations
,Supervisors of Building and Grounds Cleaning and Maintenance Workers
,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
,Building Cleaning and Pest Control Workers
,Building Cleaning Workers
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
37-2012,Maids and Housekeeping Cleaners
37-2019,"Building Cleaning Workers, All Other"
,Pest Control Workers
37-2021,Pest Control Workers
,Grounds Maintenance Workers
,Grounds Maintenance Workers
37-3011,Landscaping and Groundskeeping Workers
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
37-3013,Tree Trimmers and Pruners
37-3019,"Grounds Maintenance Workers, All Other"
,Personal Care and Service Occupations
,Supervisors of Personal Care and Service Workers
,First-Line Supervisors of Entertainment and Recreation Workers
39-1013,First-Line Supervisors of Gambling Services Workers
39-1014,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
,First-Line Supervisors of Personal Service Workers
39-1022,First-Line Supervisors of Personal Service Workers
,Animal Care and Service Workers
,Animal Trainers
39-2011,Animal Trainers
,Animal Caretakers
39-2021,Animal Caretakers
,Entertainment Attendants and Related Workers
,Gambling Services Workers
39-3011,Gambling Dealers
39-3012,Gambling and Sports Book Writers and Runners
39-3019,"Gambling Service Workers, All Other"
,Motion Picture Projectionists
39-3021,Motion Picture Projectionists
,"Ushers, Lobby Attendants, and Ticket Takers"
39-3031,"Ushers, Lobby Attendants, and Ticket Takers"
,Miscellaneous Entertainment Attendants and Related Workers
39-3091,Amusement and Recreation Attendants
39-3092,Costume Attendants
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants"
39-3099,"Entertainment Attendants and Related Workers, All Other"
,Funeral Service Workers
,Embalmers and Crematory Operators
39-4011,Embalmers
39-4012,Crematory Operators
,Funeral Attendants
39-4021,Funeral Attendants
,"Morticians, Undertakers, and Funeral Arrangers"
39-4031,"Morticians, Undertakers, and Funeral Arrangers"
,Personal Appearance Workers
,"Barbers, Hairdressers, Hairstylists and Cosmetologists"
39-5011,Barbers
39-5012,"Hairdressers, Hairstylists, and Cosmetologists"
,Miscellaneous Personal Appearance Workers
39-5091,"Makeup Artists, Theatrical and Performance"
39-5092,Manicurists and Pedicurists
39-5093,Shampooers
39-5094,Skincare Specialists
,"Baggage Porters, Bellhops, and Concierges"
,"Baggage Porters, Bellhops, and Concierges"
39-6011,Baggage Porters and Bellhops
39-6012,Concierges
,Tour and Travel Guides
,Tour and Travel Guides
39-7011,Tour Guides and Escorts
39-7012,Travel Guides
,Other Personal Care and Service Workers
,Childcare Workers
39-9011,Childcare Workers
,Recreation and Fitness Workers
39-9031,Exercise Trainers and Group Fitness Instructors
39-9032,Recreation Workers
,Residential Advisors
39-9041,Residential Advisors
,Miscellaneous Personal Care and Service Workers
39-9099,"Personal Care and Service Workers, All Other"
,Sales and Related Occupations
