2018 SOC Code,2018 SOC Direct Match Title
13-1041,Mortician Investigator
13-1041,Wage and Hour Investigator
13-1051,Construction Estimator
13-1051,Construction Job Cost Estimator
13-1051,Crating and Moving Estimator
13-1051,Electrical Estimator
13-1051,Job Estimator
13-1051,Production Cost Estimator
13-1071,Corporate Recruiter
13-1071,Credentialing Coordinator
13-1071,Employee Placement Specialist
13-1071,Human Resources Generalist
13-1071,Job Placement Officer
13-1071,Job Placement Specialist
13-1071,Job Recruiter
13-1071,Personnel Coordinator
13-1071,Personnel Officer
13-1071,Personnel Recruiter
13-1071,Personnel Specialist
13-1071,Staffing Coordinator
13-1071,Student Recruiter
13-1071,Volunteer Coordinator
13-1074,Farm Labor Contractor
13-1074,Harvesting Contractor
13-1075,Employee Relations Specialist
13-1075,Industrial Relations Analyst
13-1075,Industrial Relations Specialist
13-1075,Labor Relations Consultant
13-1075,Labor Relations Representative
13-1075,Union Representative
13-1081,Logistician
13-1081,Logistics Analyst
13-1081,Logistics Coordinator
13-1081,Logistics Planner
13-1081,Logistics Specialist
13-1082,Design Project Management Specialists
13-1082,Movie Project Management Specialists
13-1111,Business Analyst
13-1111,Business Consultant
13-1111,Business Management Analyst
13-1111,Business Process Consultant
13-1111,Clerical Methods Analyst
13-1111,Commercial Specialist
13-1111,Industrial Analyst
13-1111,Management Consultant
13-1111,Records Management Analyst
13-1111,University Institutional Researcher
13-1121,Certified Meeting Professional
13-1121,Conference Organizer
13-1121,Conference Planner
13-1121,Conference Planning Manager
13-1121,Conference Services Director
13-1121,Conference Services Manager
13-1121,Convention Planner
13-1121,Convention Services Manager
13-1121,Corporate Meeting Planner
13-1121,Event Planner
13-1121,Events Manager
13-1121,Wedding Planner
13-1131,Campaign Fundraiser
13-1131,Donor Relations Officer
13-1131,Fundraising Officer
13-1141,Benefits Analyst
13-1141,Compensation Analyst
13-1141,Compensation Specialist
13-1141,Employee Benefits Specialist
13-1141,Job Analyst
13-1141,Job Specification Writer
13-1141,Occupational Analyst
13-1141,Pension Administrator
13-1141,Position Classification Specialist
13-1141,Retirement Plan Specialist
13-1151,Computer Software Training Specialist
13-1151,Computer Training Specialist
13-1151,Corporate Trainer
13-1151,Employee Development Specialist
13-1151,Insurance Employee Trainer
13-1151,Job Training Specialist
13-1151,Training Coordinator
13-1151,Training Specialist
13-1161,Advertising Analyst
13-1161,Market Research Analyst
13-1161,Market Research Specialist
13-1161,Marketing Analyst
13-1161,Marketing Consultant
13-1161,Marketing Forecaster
13-1161,Marketing Specialist
13-1161,Search Marketing Strategist
13-1199,Mystery Shopper
13-1199,Ship Purser
13-2011,Account Auditor
13-2011,Accountant
13-2011,Auditor
13-2011,Auditor-In-Charge
13-2011,Certified Public Accountant
13-2011,Cost Accountant
13-2011,CPA
13-2011,Field Auditor
13-2011,Financial Accountant
13-2011,Financial Auditor
13-2011,Fund Accountant
13-2011,Internal Auditor
13-2011,Payroll Auditor
13-2011,Tax Accountant
13-2022,Estate Appraiser
13-2022,Machinery Appraiser
13-2022,Personal Property Assessor
13-2023,Real Estate Appraiser
13-2023,Real Estate Assessor
13-2023,Real Property Evaluator
13-2023,Residential Fee Appraiser
13-2031,Budget Analyst
13-2031,Budget Coordinator
13-2031,Budget Examiner
13-2031,Budget Officer
13-2031,Cost Analyst
13-2041,Chief Credit Analyst
13-2041,Credit Analyst
13-2041,Credit Assessment Analyst
13-2041,Credit Risk Analyst
13-2041,Factorer
13-2051,Corporate Financial Analyst
13-2051,Corporate Securities Research Analyst
13-2051,Corporate Statistical Financial Analyst
13-2051,Institutional Commodity Analyst
13-2051,Organizational Investment Analyst
13-2052,Certified Financial Planner
13-2052,Estate Planner
13-2052,Estate Planning Counselor
13-2052,Financial Counselor
13-2052,Individual Pension Adviser
13-2052,Individual Pension Consultant
13-2052,Personal Financial Planner
13-2052,Personal Investment Adviser
13-2053,Automobile and Property Underwriter
13-2053,Bond Underwriter
13-2053,Insurance Analyst
13-2053,Insurance Underwriter
13-2053,Insurance Writer
13-2053,Underwriting Account Representative
13-2053,Underwriting Service Representative
13-2054,Financial Risk Analyst
13-2061,Bank Compliance Officer
13-2061,Bank Examiner
13-2061,Financial Compliance Examiner
13-2061,Home Mortgage Disclosure Act Specialist
13-2061,Payroll Examiner
13-2061,Pension Examiner
13-2071,Credit Counselor
13-2071,Debt Management Counselor
13-2071,Student Financial Aid Counselor
13-2071,Student Loan Counselor
13-2072,Branch Lending Officer
13-2072,Commercial Lender
13-2072,Loan Analyst
13-2072,Loan Officer
13-2072,Loan Reviewer
13-2072,Payday Loan Officer
13-2072,Real Estate Loan Officer
13-2081,City Collector
13-2081,Customs Appraiser
13-2081,Income Tax Adjuster
13-2081,Internal Revenue Agent
13-2081,Internal Revenue Service Agent
13-2081,Revenue Collector
13-2081,Revenue Enforcement Agent
13-2081,Tax Compliance Officer
13-2081,Tax Compliance Representative
13-2081,Tax Examiner
13-2081,Tax Investigator
13-2081,Tax Revenue Officer
13-2082,Corporate Tax Preparer
13-2082,Income Tax Advisor
13-2082,Income Tax Preparer
13-2082,Licensed Tax Consultant
13-2082,Tax Consultant
13-2082,Tax Specialist
13-2099,Bail Bondsman
13-2099,Bondsman
13-2099,Executor of Estate
15-1211,Applications Analyst
15-1211,Computer Systems Consultant
15-1211,Data Processing Systems Analyst
15-1211,Information Systems Analyst
15-1211,Information Systems Planner
15-1211,Programmer Analyst
15-1211,Systems Architect
15-1212,Computer Security Specialist
15-1212,Computer Systems Security Analyst
15-1212,Information Security Analyst
15-1212,Information Systems Security Analyst
15-1212,IT Risk Specialist
15-1212,Network Security Analyst
15-1221,Computational Theory Scientist
15-1221,Computer Scientist
15-1221,Control System Computer Scientist
15-1221,Programming Methodology and Languages Researcher
15-1231,Network Diagnostic Support Specialist
15-1231,Network Support Technician
15-1231,Network Technician
15-1232,Computer Customer Support Specialist
15-1232,Computer Help Desk Representative
15-1232,Computer Help Desk Specialist
15-1232,End-User Support Specialist
15-1232,Help Desk Analyst
15-1232,Help Desk Technician
15-1232,IT Support Specialist
15-1232,PC Support Specialist
15-1241,Computer Network Engineer
15-1241,Network Designer
15-1241,Network Developer
15-1241,Network Engineer
15-1242,Automatic Data Processing Planner
15-1242,Database Administration Manager
15-1242,Database Coordinator
15-1242,Database Programmer
15-1242,Database Security Administrator
15-1243,Data Architect
15-1243,Data Integration Specialist
15-1243,Data Warehousing Specialist
15-1243,Database Developer
15-1244,LAN Administrator
15-1244,LAN Systems Administrator
15-1244,Local Area Network Administrator
15-1244,Network Analyst
15-1244,Network Coordinator
15-1244,Network Support Coordinator
15-1244,Network Support Manager
15-1244,Network Systems Administrator
15-1244,Network Systems Coordinator
15-1244,WAN Systems Administrator
15-1244,Wide Area Network Administrator
15-1251,Applications Programmer
15-1251,Computer Language Coder
15-1251,Computer Programmer
15-1251,IT Programmer
15-1251,Junior Software Developer
15-1251,Mainframe Programmer
15-1251,Systems Programmer
15-1252,Application Integration Engineer
15-1252,Applications Developer
15-1252,Computer Applications Developer
15-1252,Computer Applications Engineer
15-1252,Computer Systems Engineer
15-1252,Computer Systems Software Architect
15-1252,Computer Systems Software Engineer
15-1252,Embedded Systems Software Developer
15-1252,Enterprise Systems Engineer
15-1252,Mobile Applications Developer
15-1252,Software Applications Architect
15-1252,Software Applications Designer
15-1252,Software Applications Engineer
15-1252,Software Engineer
15-1252,Software Systems Engineer
15-1252,Systems Software Designer
15-1252,Systems Software Developer
15-1252,Systems Software Specialist
15-1253,Applications Tester
15-1253,Software Quality Assurance Technician
15-1253,Software Quality Control Specialist
15-1253,Software Quality Engineer
15-1253,Software Test Engineer
15-1254,Intranet Developer
15-1254,Web Applications Developer
15-1254,Web Architect
15-1254,Web Content Developer
15-1254,Web Developer
15-1255,Digital Designer
15-1255,Graphic Web Designer
15-1255,Web Content Specialist
15-1299,Computer Console Operator
15-1299,Computer Laboratory Technician
15-1299,Data Center Operator
15-2011,Actuarial Associate
15-2011,Actuarial Mathematician
15-2011,Health Actuary
15-2011,Insurance Actuary
15-2011,Pricing Actuary
15-2011,Product Development Actuary
15-2021,Algebraist
15-2021,Cipher Expert
15-2021,Cryptanalyst
15-2021,Cryptographer
15-2021,Cryptographic Vulnerability Analyst
15-2021,Geometrician
15-2031,Operations Analyst
15-2031,Procedure Analyst
15-2031,Process Analyst
15-2041,Analytical Statistician
15-2041,Applied Statistician
15-2041,Biometrician
15-2041,Biostatistician
15-2041,Environmental Statistician
15-2041,Mathematical Statistician
15-2041,Research Biostatistician
15-2041,Sampling Expert
15-2041,Statistical Analyst
15-2041,Statistical Reporting Analyst
15-2041,Survey Statistician
15-2041,Time Study Statistician
15-2051,Business Intelligence Developer
15-2051,Data Analytics Specialist
15-2051,Data Mining Analyst
15-2051,Data Visualization Developer
15-2099,Harmonic Analyst
15-2099,Mathematical Engineering Technician
15-2099,Mathematics Technician
17-1011,Building Architect
17-1011,Building Architectural Designer
17-1011,Structural Architect
17-1012,Golf Course Architect
17-1012,Golf Course Designer
17-1012,Landscape Architect
17-1012,Landscape Designer
17-1021,Cadastral Mapper
17-1021,Digital Cartographer
17-1021,"Engineer, Photogrammetric"
17-1021,Map Maker
17-1021,Mapper
17-1021,Orthophotography Technician
17-1021,Photo Cartographer
17-1021,Photogrammetrist
17-1021,Topographer
17-1022,City Surveyor
17-1022,County Surveyor
17-1022,Geodetic Surveyor
17-1022,Geophysical Prospecting Surveyor
17-1022,Land Surveyor
17-1022,Mine Surveyor
17-1022,Mineral Surveyor
17-1022,Registered Land Surveyor
17-1022,Topographical Surveyor
17-2011,Aerodynamics Engineer
17-2011,Aeronautical Engineer
17-2011,Aircraft Design Engineer
17-2011,Aircraft Designer
17-2011,Aircraft Engineer
17-2011,Astronautical Engineer
17-2011,Flight Systems Test Engineer
17-2011,Flight Test Engineer
17-2011,Wind Tunnel Engineer
17-2021,Agricultural Engineer
17-2021,Agricultural Production Engineer
17-2021,Agricultural Research Engineer
17-2021,Farm Equipment Engineer
17-2021,Research Agricultural Engineer
17-2031,Biochemical Engineer
17-2031,Biomaterials Engineer
17-2031,Bio-Mechanical Engineer
17-2031,Biomedical Engineer
17-2031,Dialysis Engineer
17-2031,Genetic Engineer
17-2041,Absorption and Adsorption Engineer
17-2041,Chemical Process Engineer
17-2041,Chemical Research Engineer
17-2041,Fuels Engineer
17-2041,Oxidation Engineer
17-2041,Plastics Engineer
17-2041,Polymerization Engineer
17-2051,Architectural Engineer
17-2051,Bridge Engineer
17-2051,Construction Engineer
17-2051,Facilities Engineer
17-2051,Geotechnical Engineer
17-2051,Highway Engineer
17-2051,Hydrographic Engineer
17-2051,Railroad Design Consultant
17-2051,Research Hydraulic Engineer
17-2051,Structural Engineer
17-2061,Computer Hardware Designer
17-2061,Computer Hardware Developer
17-2071,Electrical Design Engineer
17-2071,Electrical Systems Engineer
17-2071,Illuminating Engineer
17-2071,Power Distribution Engineer
17-2072,Antenna Engineer
17-2072,Circuit Design Engineer
17-2072,Electronic Design Automation Engineer
17-2072,Electronic Engineer
17-2072,Electronic Parts Designer
17-2072,Telecommunication Engineer
17-2081,Air Pollution Control Engineer
17-2081,Environmental Remediation Engineer
17-2081,Hazardous Substances Engineer
17-2081,Hazardous Waste Management Control Engineer
17-2081,Pollution Control Engineer
17-2081,Soil Engineer
17-2081,Waste Management Engineer
17-2081,Wastewater Treatment Engineer
17-2081,Water Treatment Plant Engineer
17-2111,Fire Prevention Engineer
17-2111,Fire Protection Engineer
17-2111,Industrial Safety Engineer
17-2111,Product Safety Engineer
17-2111,Product Safety Test Engineer
17-2111,System Safety Engineer
17-2112,Efficiency Engineer
17-2112,Manufacturing Engineer
17-2112,Packaging Engineer
17-2112,Production Engineer
17-2121,Marine Architect
17-2121,Marine Equipment Engineer
17-2121,Marine Structural Designer
17-2121,Naval Engineer
17-2121,Ships Equipment Engineer
17-2131,Automotive Sheet Metal Engineer
17-2131,Ceramic Engineer
17-2131,Forensic Materials Engineer
17-2131,Glass Science Engineer
17-2131,Metallographer
17-2131,Metallurgical Engineer
17-2131,Metallurgist
17-2131,Welding Engineer
17-2141,Auto Research Engineer
17-2141,Combustion Engineer
17-2141,Engine Designer
17-2141,Heating and Cooling Systems Engineer
17-2141,Tool and Die Engineer
17-2141,Tool Engineer
17-2151,Geophysical Engineer
17-2151,Mineral Engineer
17-2151,Mining Engineer
17-2151,Seismic Engineer
17-2161,Atomic Process Engineer
17-2161,Nuclear Engineer
17-2161,Nuclear Radiation Engineer
17-2161,Nuclear Steam Supply System Engineer
17-2161,Radiation Engineer
17-2161,Reactor Engineer
17-2161,Reactor Projects Engineer
17-2171,Natural Gas Engineer
17-2171,Oil Drilling Engineer
17-2171,Oil Exploration Engineer
17-2171,Oil Well Engineer
17-2171,Petroleum Engineer
17-2199,Calibration Engineer
17-2199,Coastal Engineer
17-2199,Corrosion Control Engineer
17-2199,Mathematical Engineer
17-2199,Mechatronics Engineer
17-2199,Metrologist
17-2199,Ocean Engineer
17-2199,Optical Engineer
17-2199,Ordnance Engineer
17-2199,Photonics Engineer
17-2199,Salvage Engineer
17-3011,Architectural Drafter
17-3011,Building Drafter
17-3011,Civil Computer-Aided Design and Drafting Technician
17-3011,Civil Drafter
17-3011,Structural Drafter
17-3012,Circuit Board Drafter
17-3012,Electrical Computer Aided Design and Drafting Technician
17-3012,Electrical Drafter
17-3012,Electrical Systems Drafter
17-3012,Electronic Drafter
17-3012,Printed Circuit Board Drafter
17-3013,Aeronautical Drafter
17-3013,Automotive Design Drafter
17-3013,Die Designer
17-3013,Gage Designer
17-3013,Mechanical Design Drafter
17-3013,Tool and Die Designer
17-3013,Tool Designer
17-3019,Blueprint Tracer
17-3019,Drafting Layout Worker
17-3019,Draughtsman
17-3019,Geological Drafter
17-3019,Marine Drafter
17-3021,Aerospace Engineering and Operations Technologist
17-3021,Altitude Chamber Technician
17-3021,Flight Data Technician
17-3021,Wind Tunnel Technician
17-3022,Civil Engineering Technician
17-3022,Civil Engineering Technologist
17-3022,Concrete Engineering Technician
17-3022,Geotechnical Engineering Technician
17-3022,Highway Engineering Technician
17-3022,Structural Engineering Technician
17-3022,Transportation Engineering Technician
17-3023,Electrical and Electronic Engineering Technologist
17-3023,Electrical Design Technician
17-3023,Electrical Engineering Technician
17-3023,Electrical Power Station Technician
17-3023,Electronic Instrument Testing Technician
17-3023,Lighting Engineering Technician
17-3023,Programmable Logic Controller Programmer
17-3023,Semiconductor Development Technician
17-3024,Electo-Mechanical and Mechatronics Technologist
17-3024,Mechatronics Technician
17-3024,Remotely Piloted Vehicle Engineering Technician
17-3024,Robotics Testing Technician
17-3024,Unmanned Aerial Vehicle Operator
17-3024,Unmanned Air Systems Operator
17-3025,Air Analysis Engineering Technician
17-3025,Environmental Engineering Technologist
17-3025,Environmental Remediation Engineering Technician
17-3025,Environmental Technician
17-3025,Pollution Control Engineering Technician
17-3026,Industrial Engineering Technician
17-3026,Industrial Engineering Technologist
17-3026,Motion Study Technician
17-3026,Production Control Technologist
17-3026,Time Study Technician
17-3026,Time Study Technologist
17-3027,Gyroscopic Engineering Technician
17-3027,Heat Transfer Technician
17-3027,Hydraulic Technician
17-3027,Mechanical Engineering Technician
17-3027,Mechanical Engineering Technologist
17-3027,Optomechanical Technician
17-3028,Calibration Technician
17-3028,Calibration Technologist
17-3028,Hydrometer Calibrator
17-3029,Agricultural Engineering Technician
17-3029,Agricultural Engineering Technologist
17-3029,Biomedical Engineering Technician
17-3029,Biomedical Engineering Technologist
17-3029,Chemical Engineering Technician
17-3029,Chemical Engineering Technologist
17-3029,Marine Engineering Technician
17-3029,Marine Engineering Technologist
17-3029,Materials Engineering Technician
17-3029,Materials Engineering Technologist
17-3029,Metallurgical Engineering Technician
17-3029,Metallurgical Engineering Technologist
17-3029,Non-Destructive Testing Specialist
17-3029,Nuclear Engineering Technician
17-3029,Nuclear Engineering Technologist
17-3029,Optical Engineering Technician
17-3029,Optical Engineering Technologist
17-3029,Ordnance Engineering Technician
17-3029,Ordnance Engineering Technologist
17-3029,Radar Technicians
17-3029,Salvage Engineering Technician
17-3029,Salvage Engineering Technologist
17-3029,Sonar Technicians
17-3031,Cartographic Aide
17-3031,Cartographic Technician
17-3031,Field Map Technician
17-3031,Geophysical Prospecting Surveying Technician
17-3031,GIS Mapping Technician
17-3031,Mapping Technician
17-3031,Mineral Surveying Technician
17-3031,Surveying Technician
17-3031,Topography Technician
19-1011,Animal Geneticist
19-1011,Animal Nutritionist
19-1011,Beef Cattle Nutritionist
19-1011,Dairy Scientist
19-1011,Poultry Scientist
19-1011,Swine Genetics Researcher
19-1012,Dairy Bacteriologist
19-1012,Enologist
19-1012,Food Preservation Scientist
19-1012,Food Processing Scientist
19-1012,Food Safety Scientist
19-1012,Food Scientist
19-1012,Food Technologist
19-1013,Agriculturist
19-1013,Agronomist
19-1013,Arboreal Scientist
19-1013,Crop Nutrition Scientist
19-1013,Floriculturist
19-1013,Horticulturist
19-1013,Plant Physiologist
19-1013,Plant Scientist
19-1013,Pomologist
19-1013,Soil Fertility Extension Specialist
19-1013,Soil Scientist
19-1013,Viticulturist
19-1021,Biochemist
19-1021,Biological Chemist
19-1021,Biophysicist
19-1021,Clinical Biochemist
19-1021,Physical Biochemist
19-1022,Bacteriologist
19-1022,Clinical Microbiologist
19-1022,Medical Microbiologist
19-1022,Microbiological Analyst
19-1022,Public Health Microbiologist
19-1022,Quality Control Microbiologist
19-1022,Virologist
19-1023,Aquatic Biologist
19-1023,Entomologist
19-1023,Fish Culturist
19-1023,Fishery Biologist
19-1023,Herpetologist
19-1023,Ichthyologist
19-1023,Lepidopterist
19-1023,Marine Biologist
19-1023,Migratory Game Bird Biologist
19-1023,Ornithologist
19-1023,Protozoologist
19-1023,Wildlife Biologist
19-1029,Biologist
19-1029,Bryologist
19-1029,Embryologist
19-1029,Osteologist
19-1029,Paleobotanist
19-1029,Phytopathologist
19-1029,Plant Etiologist
19-1031,Conservation Science Officer
19-1031,Grassland Conservationist
19-1031,Land Reclamation Specialist
19-1031,Land Resource Specialist
19-1031,Range Conservationist
19-1031,Range Ecologist
19-1031,Range Scientist
19-1031,Resource Conservationist
19-1031,Soil Conservationist
19-1031,Water Conservationist
19-1032,Environmental Protection Forester
19-1032,Forest Ecologist
19-1032,Forestry Scientist
